t;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
0,1;15,98;15,68;15,88;0,03;226,52;225,46;226,32;0,03;0,0;0,0;0,0;0,0;0,0;0,0;wpisz
0,7;15,98;15,68;15,88;0,03;226,48;225,47;226,34;0,03;0,0;0,0;0,0;0,0;0,0;0,0;wpisz
1,8;15,98;15,68;15,88;0,03;226,46;225,38;226,25;0,03;0,0;0,0;0,0;0,0;0,0;0,0;wpisz
3,4;15,98;15,68;15,88;0,0;226,35;225,37;226,23;0,0;0,0;0,0;0,0;0,0;0,0;0,0;wpisz
5,0;15,98;15,67;15,87;0,03;226,74;225,72;226,47;0,03;0,0;0,0;0,0;0,0;0,0;0,0;wpisz
0,1;15,95;15,64;15,85;0,03;226,14;225,11;225,8;0,03;0,0;0,0;0,0;0,0;0,0;0,0;10proba
0,6;15,95;15,64;15,85;0,03;226,23;225,15;225,85;0,03;0,0;0,0;0,0;0,0;0,0;0,0;10proba
1,8;15,95;15,64;15,85;0,03;226,23;225,2;225,85;0,03;0,0;0,0;0,0;0,0;0,0;0,0;10proba
3,4;15,95;15,64;15,84;0,03;226,17;225,05;225,75;0,03;0,0;0,0;0,0;0,0;0,0;0,0;10proba
5,0;15,94;15,64;15,83;0,03;226,13;225,03;225,75;0,03;0,0;0,0;0,0;0,0;0,0;0,0;10proba
